Year;Region;Farmer;FlowerStrip;Transect;PlantSp;Ploidy;Fieldsize;Flowers;zFlowers;zFlowersFS;Striparea;zStriparea;plCROP1km;rounds;logrounds;Species;Bumblebees;longt;shortt;ca;di;ho;la;mu;oh;pa;pr;rd;rp;so;su;sy;terag;Honeybees;cwm_tongue;Protapion;TotalProtapion;logWFlowers;Parasitoids;Hayield;mlongt;mshortt;mHoneybees;ProtapionDensity;HBcol_ha
2010;M;12;Y;edge;tripra;4n;5;119,5;0,531916633;-0,328365367;750;-85,23;0,425450802;3;1,098612289;4;25;1;9;0;0;0;1;0;14;1;0;0;0;0;0;0;9;17;5,741785714;336;391;4,787491743;55;313,75;0,333333333;3;5,666666667;3,258333333;2
2010;M;13;N;interior;tripra;2n;10,5;139;-14,2373188;-11,812963;;;0,648874034;4;1,386294361;4;41;1;38;0;0;1;9;0;1;0;0;0;0;0;0;0;30;13;6,407924528;33;38;4,787491743;5;383,75;0,25;9,5;3,25;0,316666667;0
2010;M;13;N;edge;tripra;2n;10,5;165,25;-7,6748188;-5,250463;;;0,648874034;4;1,386294361;7;36;11;25;0;0;5;1;0;0;4;0;0;0;1;2;3;20;38;6,212432432;67;73;4,787491743;6;527,5;2,75;6,25;9,5;0,608333333;0
2010;E;14;Y;interior;tripra;2n;9,5;245,75;0,1626812;2,587037;1150;-281,11;0,665430549;5;1,609437912;7;27;4;20;0;1;1;6;0;0;0;0;0;0;1;2;0;16;11;6,476578947;3;3;4,787491743;0;73,75;0,8;4;2,2;0,025;1,052631579
2010;E;14;Y;edge;tripra;2n;9,5;237,5;-1,4873188;0,937037;1150;-281,11;0,665430549;5;1,609437912;4;21;0;14;0;0;0;1;0;0;0;0;0;0;2;0;0;18;9;6,265;24;26;4,762173935;2;76,25;0;2,8;1,8;0,222222222;1,052631579
2010;M;15;N;interior;tripra;4n;7,3;156,5;-0,1764167;-1,0366987;;;0,714962727;4;1,386294361;5;40;3;34;0;0;0;10;1;2;0;0;0;0;0;2;0;25;1;6,831538462;432;469;4,787491743;37;295;0,75;8,5;0,25;3,908333333;0
2010;M;15;N;edge;tripra;4n;7,3;101;-14,0514167;-14,9116987;;;0,714962727;4;1,386294361;6;47;14;31;0;0;2;1;0;1;1;0;0;0;0;11;0;31;1;7,45893617;282;317;4,787491743;35;280;3,5;7,75;0,25;2,641666667;0
2010;M;16;Y;interior;tripra;2n;9,5;172,25;8,429347867;10,85370367;2000;568,89;0,560790209;3;1,098612289;2;17;0;16;0;0;0;5;0;1;0;0;0;0;0;0;0;11;21;5,724864865;2;2;4,787491743;0;521,25;0;5,333333333;7;0,016666667;0
2010;M;16;Y;edge;tripra;2n;9,5;138,25;-2,903985467;-0,479629667;2000;568,89;0,560790209;3;1,098612289;4;21;1;19;0;0;0;9;0;1;0;0;0;0;0;1;1;9;32;5,621923077;0;0;4,753590191;0;420;0,333333333;6,333333333;10,66666667;0;0
2010;E;17;Y;interior;tripra;4n;10;235,5;7,7985833;6,9383013;800;-35,23;0,338289556;5;1,609437912;4;24;2;20;0;0;0;0;0;0;0;0;0;0;1;2;0;21;35;5,828983051;0;1;4,770684624;1;142,5;0,4;4;7;0,008474576;2
2010;E;17;Y;edge;tripra;4n;10;227,25;6,1485833;5,2883013;800;-35,23;0,338289556;5;1,609437912;4;23;3;19;0;0;1;0;0;0;0;0;0;0;0;2;0;20;17;6,30525;0;1;4,564348191;1;143,75;0,6;3,8;3,4;0,010416667;2
2010;M;18;Y;interior;tripra;4n;8,3;105,25;-12,9889167;-13,8491987;1500;664,77;0,741899408;4;1,386294361;5;44;1;39;0;0;0;6;0;1;0;0;0;0;0;1;1;35;26;6,173768116;5;5;4,787491743;0;466,25;0,25;9,75;6,5;0,041666667;3,614457831
2010;M;18;Y;edge;tripra;4n;8,3;135,75;-5,3639167;-6,2241987;1500;664,77;0,741899408;4;1,386294361;6;28;3;20;0;0;1;7;0;3;0;0;0;0;0;2;2;13;20;6,097555556;8;11;4,787491743;3;626,25;0,75;5;5;0,091666667;3,614457831
2010;E;19;N;interior;tripra;4n;9,5;159,25;13,78191663;12,92163463;;;0,217689599;3;1,098612289;7;10;3;4;0;1;1;1;0;0;0;0;0;0;2;1;0;4;7;6,410588235;0;1;4,770684624;1;115;1;1,333333333;2,333333333;0,008474576;0,315789474
2010;E;19;N;edge;tripra;4n;9,5;155,5;12,53191663;11,67163463;;;0,217689599;3;1,098612289;4;12;2;7;0;0;0;0;0;0;0;0;0;0;4;2;0;6;24;5,587222222;0;2;4,787491743;2;163,75;0,666666667;2,333333333;8;0,016666667;0,315789474
2010;E;20;Y;interior;tripra;2n;5,6;263,5;3,7126812;6,137037;800;-631,11;0,428695003;5;1,609437912;6;53;6;45;0;2;0;5;0;0;1;0;0;0;0;3;0;42;18;6,561971831;25;25;4,727387819;0;248,75;1,2;9;3,6;0,221238938;3,75
2010;E;20;Y;edge;tripra;2n;5,6;206,75;-7,6373188;-5,212963;800;-631,11;0,428695003;5;1,609437912;6;28;9;19;0;0;2;2;0;0;1;0;0;0;0;6;1;16;32;6,166833333;67;70;4,727387819;3;140;1,8;3,8;6,4;0,619469027;3,75
2010;E;21;N;interior;tripra;2n;21;325;16,0126812;18,437037;;;0,396690341;5;1,609437912;3;27;0;19;0;0;0;3;0;0;0;0;0;0;0;0;0;24;38;5,772461538;0;0;4,700480366;0;242,5;0;3,8;7,6;0;0
2010;E;21;N;edge;tripra;2n;21;307,75;12,5626812;14,987037;;;0,396690341;5;1,609437912;5;20;1;12;0;0;0;2;0;0;0;0;0;0;1;1;0;16;63;5,445060241;0;1;4,753590191;1;345;0,2;2,4;12,6;0,00862069;0
2010;M;22;Y;interior;tripra;4n;6;75;-14,3014167;-15,1616987;900;64,77;0,261358025;3;1,098612289;5;28;0;22;0;0;0;2;0;0;0;0;1;0;0;0;1;24;1;6,857463054;241;277;4,787491743;36;415;0;7,333333333;0,333333333;2,308333333;0,833333333
2010;M;22;Y;edge;tripra;4n;6;76;-13,96808337;-14,82836537;900;64,77;0,261358025;3;1,098612289;8;40;9;24;0;0;1;2;1;4;7;0;0;0;1;0;1;23;1;7,016486486;256;393;4,787491743;137;155;3;8;0,333333333;3,275;0,833333333
2010;E;23;N;interior;tripra;4n;7,5;176,25;19,4485833;18,5883013;;;0,485874906;3;1,098612289;2;5;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;4;21;5,470769231;0;1;4,787491743;1;116,25;0,333333333;1,333333333;7;0,008333333;0,4
2010;E;23;N;edge;tripra;4n;7,5;137,25;6,4485833;5,5883013;;;0,485874906;3;1,098612289;2;2;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;34;5,170833333;0;0;4,753590191;0;83,75;0,666666667;0;11,33333333;0;0,4
2010;M;27;N;interior;tripra;4n;10,5;68,75;-16,38475003;-17,24503203;;;0,530774175;3;1,098612289;4;10;0;9;0;0;0;2;0;0;0;0;0;0;0;0;1;7;3;6,373076923;803;891;4,787491743;88;62,5;0;3;1;7,425;0,19047619
2010;M;27;N;edge;tripra;4n;10,5;104,5;-4,468083367;-5,328365367;;;0,530774175;3;1,098612289;3;18;0;12;0;0;0;2;0;0;0;0;0;0;0;0;0;16;17;5,961142857;700;930;4,787491743;230;63,75;0;4;5,666666667;7,75;0,19047619
2010;E;24;N;interior;tripra;2n;6,5;252,5;1,5126812;3,937037;;;0,642380537;5;1,609437912;6;29;4;20;0;0;1;1;0;0;0;0;0;0;1;3;0;23;8;6,72027027;4;4;4,753590191;0;168,75;0,8;4;1,6;0,034482759;3,076923077
2010;E;24;N;edge;tripra;2n;6,5;235,25;-1,9373188;0,487037;;;0,642380537;5;1,609437912;4;21;2;17;0;0;0;4;0;0;0;0;0;0;0;2;0;15;8;6,419655172;17;25;4,744932128;8;156,25;0,4;3,4;1,6;0,217391304;3,076923077
